============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(5 MeV) ==> Xe gas( 25.3 mm) ============================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  210  1 .4488743E+07   2540000E+02 -.6520E+07 -.1904E+07   .9969889 -.0772789 -.0064174
T  211  1 .4435562E+07   2540000E+02  .3302E+07  .2625E+07   .9996726  .0230822  .0110379
T  212  1 .4463490E+07   2540000E+02 -.8226E+07  .3904E+07   .9978275 -.0652522  .0090792
T  213  1 .4502909E+07   2540000E+02 -.1150E+08  .1373E+07   .9923503 -.1233095 -.0059692
T  214  1 .4546925E+07   2540000E+02 -.7218E+07  .2643E+07   .9991170 -.0249011  .0338416
T  215  1 .4526896E+07   2540000E+02  .2989E+07  .4454E+06   .9996414  .0248482 -.0099858
T  216  1 .4523375E+07   2540000E+02 -.2668E+07 -.3688E+07   .9998334 -.0159040 -.0089531
T  217  1 .4456810E+07   2540000E+02  .8779E+06 -.3564E+07   .9980737  .0212858 -.0582736
T  218  1 .4528223E+07   2540000E+02  .5775E+07  .1337E+06   .9994661  .0240548  .0221099
T  219  1 .4525066E+07   2540000E+02  .3652E+07 -.4360E+06   .9985944  .0304430 -.0433874
T  220  1 .4431068E+07   2540000E+02  .2139E+08 -.1621E+08   .9914722  .0711321 -.1091926
T  221  1 .4529004E+07   2540000E+02  .1200E+08  .4193E+07   .9939561  .1087571  .0149400
T  222  1 .4462289E+07   2540000E+02  .2164E+07 -.2388E+07   .9995296  .0170535 -.0254922
T  223  1 .4467034E+07   2540000E+02 -.7033E+06 -.5230E+06   .9995097 -.0057737  .0307743
